Issuer,Rewards Currency,Card,Gas,Grocery,Flights,Hotels,RentalCar,Travel,Transit,Dining,Drugstore,Ads,Office Supply,Internet/Cable,Phone,Amazon,Streaming,Entertainment,Wholesale Clubs,Home Improvement,Mobile Pay,>5k,Else,Rent,Annual Fee
Chase,Hyatt,Hyatt Personal,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,$95 
Citi,ThankYou Points,Strata Elite,1.5,1.5,1.5,1.5,1.5,1.5,1.5,6,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,0,$595 
Citi,Cash Back,Double Cash,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,$0 
Citi,ThankYou Points,Strata Premier,3,3,3,3,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0,$95 
Citi,Cash Back,Costco Visa,4,1,3,3,3,3,1,3,1,1,1,1,1,1,1,1,2,1,1,1,1,0,$0 
Citi,Cash Back,Custom Cash,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,0,$0 
Citi,Cash Back,Strata+,3,3,1,2,2,1,3,2,1,1,1,1,1,1,3,1,1,1,1,1,1,0,$0 
Citi,American,AA Business,2,1,1,1,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,0,$0 
Citi,American,AA Executive,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,$595 
Citi,American,AA MileUp,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,$0 
Citi,American,AA Platinum,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,$99 
Discover,Cash Back,DiscoverIt Miles,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,0,$0 
Discover,Cash Back,DiscoverIt Cash Back,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,$0 
Mesa,Mesa Points,Homeowners Card,2,2,1,1,1,1,1,1,1,1,1,3,3,1,3,1,1,3,1,1,1,0,$0 
Paypal,Cash Back,Mastercard,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,0,$0 
Paypal,Cash Back,Debit Card,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,$0 
Robinhood,Cash Back,Robinhood Card,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,$50 
Sam's Club,Cash Back,Mastercard,5,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,3,1,1,1,1,0,$0 
US Bank,Cash Back,Smartly Visa,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,$0 
US Bank,US Bank Points,Altitude Reserve,1,1,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,3,1,1,0,$400 
Synchrony,Cash Back,Venmo Card,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,0,$0 
Verizon,Cash Back,VZW Visa,4,4,1,1,1,1,1,3,1,1,1,1,2,1,1,1,1,1,1,1,1,0,$0 
Webbank,Cash Back,Gemini Card,4,2,1,1,1,1,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0,$0 
Wells Fargo,Wells Fargo Rewards,Autograph,3,1,3,3,3,3,3,3,1,1,1,1,3,1,3,1,1,1,1,1,1,0,$0 
Wells Fargo,Cash Back,Active Cash,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,$0 
Wells Fargo,Cash Back,Attune,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,$0 
Wells Fargo,Wells Fargo Rewards,Autograph Journey,1,1,4,5,3,3,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0,$95 
